,titleId,title,region,startYear,runtimeMinutes,genres,averageRating,directors,writers
1638,tt0012873,The Scarecrow,US,1921,0,0,7.1,nm0823088,nm0823088
1639,tt0012875,According to Hoyle,US,1922,0,Comedy,4.7,nm0886754,"nm0167424,nm0395119,nm0923025"
1640,tt0012877,Across the Continent,US,1922,60,"Action,Sport,Thriller",4.6,nm0005847,nm0604526
1641,tt0012879,Adam and Eva,US,1923,80,Comedy,7.9,nm0897085,"nm0093397,nm0585502,nm0715564"
1642,tt0012881,The Adventures of Robinson Crusoe,US,1922,360,Adventure,6.6,nm0384616,"nm0068186,nm0214518"
1643,tt0012891,The Altar Stairs,US,1922,50,Drama,4.2,nm0385171,"nm0484134,nm0387000,nm0775471"
1644,tt0012898,Anna Ascends,US,1922,60,"Drama,Romance",4.4,nm0281808,"nm0285679,nm0877332"
1645,tt0012917,Back Pay,US,1922,70,Drama,6.8,nm0097648,"nm0403595,nm0547966"
1646,tt0012920,Barb Wire,US,1922,0,Western,5.1,nm0334918,"nm0075318,nm0756814"
1647,tt0012920,Barbed Wire,US,1922,0,Western,5.1,nm0334918,"nm0075318,nm0756814"
1648,tt0012926,The Beautiful and Damned,US,1922,70,Drama,7.1,nm0291548,"nm0280234,nm0697880"
1649,tt0012928,Beauty's Worth,US,1922,112,"Drama,Romance",6.5,nm0897085,"nm0449805,nm0715564"
1650,tt0012933,The Better Man Wins,US,1922,64,"Action,Western",6.8,"nm0264683,nm0560363","nm0560363,nm0264683"
1651,tt0012937,Beyond the Rainbow,US,1922,65,Drama,6.7,nm0127511,"nm0112117,nm0127511,nm0050369,nm0812676"
1652,tt0012938,Beyond the Rocks,US,1922,80,"Drama,Romance",6.7,nm0939992,"nm0323325,nm0192325"
1653,tt0012940,Big Stakes,US,1922,61,Western,5.8,nm0253296,nm0101312
1654,tt0012940,High Stakes,US,1922,61,Western,5.8,nm0253296,nm0101312
1655,tt0012948,Skyfire,US,1922,55,Western,6.0,nm0565402,"nm0565402,nm0576055"
1656,tt0012948,Blazing Arrows,US,1922,55,Western,6.0,nm0565402,"nm0565402,nm0576055"
1657,tt0012949,The Octave of Claudius,US,1922,57,"Drama,Horror,Mystery",6.2,nm0941637,"nm0370271,nm0656798"
1658,tt0012949,A Blind Bargain,US,1922,57,"Drama,Horror,Mystery",6.2,nm0941637,"nm0370271,nm0656798"
1659,tt0012952,Blood and Sand,US,1922,108,"Drama,Romance,Sport",6.4,"nm0002188,nm0629243","nm0087658,nm0193704,nm0558923"
1660,tt0012960,The Bonded Woman,US,1922,60,"Adventure,Drama,Romance",3.0,nm0005847,"nm0933640,nm0494673"
